rtl_file,logic_depth,avg_fan_in,avg_fan_out,predicted_logic_depth,timing_violation
10.v,1,0.0,0.0,1.4763647963323492,False
100.decade_counter.v,1,0.0,0.0,1.4763647963323492,False
100.v,1,0.0,0.0,1.4763647963323492,False
10000.v,1,0.0,0.0,1.4763647963323492,False
10001.v,1,0.0,0.0,1.4763647963323492,False
10004.v,1,0.0,0.0,1.4763647963323492,False
10005.v,1,0.0,0.0,1.4763647963323492,False
10006.v,1,0.0,0.0,1.4763647963323492,False
10008.v,1,0.0,0.0,1.4763647963323492,False
10009.v,1,0.0,0.0,1.4763647963323492,False
1001.v,1,0.0,0.0,1.4763647963323492,False
10010.v,1,0.0,0.0,1.4763647963323492,False
10011.v,1,0.0,0.0,1.4763647963323492,False
10012.v,1,0.0,0.0,1.4763647963323492,False
10013.v,1,0.0,0.0,1.4763647963323492,False
10014.v,1,0.0,0.0,1.4763647963323492,False
10015.v,1,0.0,0.0,1.4763647963323492,False
10016.v,1,0.0,0.0,1.4763647963323492,False
10017.v,1,0.0,0.0,1.4763647963323492,False
10018.v,1,0.0,0.0,1.4763647963323492,False
10019.v,1,0.0,0.0,1.4763647963323492,False
1002.v,1,0.0,0.0,1.4763647963323492,False
10020.v,1,0.0,0.0,1.4763647963323492,False
10021.v,1,0.0,0.0,1.4763647963323492,False
10023.v,1,0.0,0.0,1.4763647963323492,False
10024.v,1,0.0,0.0,1.4763647963323492,False
10026.v,1,0.0,0.0,1.4763647963323492,False
10027.v,1,0.0,0.0,1.4763647963323492,False
10028.v,1,0.0,0.0,1.4763647963323492,False
10029.v,1,0.0,0.0,1.4763647963323492,False
1003.v,1,0.0,0.0,1.4763647963323492,False
10030.v,1,0.0,0.0,1.4763647963323492,False
10031.v,1,0.0,0.0,1.4763647963323492,False
10032.v,1,0.0,0.0,1.4763647963323492,False
10033.v,1,0.0,0.0,1.4763647963323492,False
10035.v,1,0.0,0.0,1.4763647963323492,False
10036.v,1,0.0,0.0,1.4763647963323492,False
10038.v,1,0.0,0.0,1.4763647963323492,False
10039.v,1,0.0,0.0,1.4763647963323492,False
1004.v,1,0.0,0.0,1.4763647963323492,False
10040.v,1,0.0,0.0,1.4763647963323492,False
10041.v,1,0.0,0.0,1.4763647963323492,False
10042.v,1,0.0,0.0,1.4763647963323492,False
10043.v,1,0.0,0.0,1.4763647963323492,False
10044.v,1,0.0,0.0,1.4763647963323492,False
10045.v,1,0.0,0.0,1.4763647963323492,False
10047.v,1,0.0,0.0,1.4763647963323492,False
10048.v,1,0.0,0.0,1.4763647963323492,False
1005.v,1,0.0,0.0,1.4763647963323492,False
10050.v,1,0.0,0.0,1.4763647963323492,False
10051.v,1,0.0,0.0,1.4763647963323492,False
10052.v,1,0.0,0.0,1.4763647963323492,False
10053.v,1,0.0,0.0,1.4763647963323492,False
10054.v,1,0.0,0.0,1.4763647963323492,False
10055.v,1,0.0,0.0,1.4763647963323492,False
10056.v,1,0.0,0.0,1.4763647963323492,False
10057.v,1,0.0,0.0,1.4763647963323492,False
10059.v,1,0.0,0.0,1.4763647963323492,False
1006.v,1,0.0,0.0,1.4763647963323492,False
10061.v,1,0.0,0.0,1.4763647963323492,False
10062.v,1,0.0,0.0,1.4763647963323492,False
10063.v,1,0.0,0.0,1.4763647963323492,False
10064.v,1,0.0,0.0,1.4763647963323492,False
10066.v,1,0.0,0.0,1.4763647963323492,False
10067.v,1,0.0,0.0,1.4763647963323492,False
10068.v,1,0.0,0.0,1.4763647963323492,False
10069.v,1,0.0,0.0,1.4763647963323492,False
1007.v,1,0.0,0.0,1.4763647963323492,False
10070.v,1,0.0,0.0,1.4763647963323492,False
10071.v,1,0.0,0.0,1.4763647963323492,False
10072.v,1,0.0,0.0,1.4763647963323492,False
10073.v,1,0.0,0.0,1.4763647963323492,False
10074.v,1,0.0,0.0,1.4763647963323492,False
10075.v,1,0.0,0.0,1.4763647963323492,False
10076.v,1,0.0,0.0,1.4763647963323492,False
10079.v,1,0.0,0.0,1.4763647963323492,False
1008.v,1,0.0,0.0,1.4763647963323492,False
10080.v,1,0.0,0.0,1.4763647963323492,False
10081.v,1,0.0,0.0,1.4763647963323492,False
10084.v,1,0.0,0.0,1.4763647963323492,False
10086.v,1,0.0,0.0,1.4763647963323492,False
10087.v,1,0.0,0.0,1.4763647963323492,False
10088.v,1,0.0,0.0,1.4763647963323492,False
10089.v,1,0.0,0.0,1.4763647963323492,False
10090.v,1,0.0,0.0,1.4763647963323492,False
10091.v,1,0.0,0.0,1.4763647963323492,False
10092.v,1,0.0,0.0,1.4763647963323492,False
10095.v,1,0.0,0.0,1.4763647963323492,False
10096.v,1,0.0,0.0,1.4763647963323492,False
10098.v,1,0.0,0.0,1.4763647963323492,False
10099.v,3,3.5,1.4,3.355865482181989,False
100_Count10.v,1,0.0,0.0,1.4763647963323492,False
1010.v,1,0.0,0.0,1.4763647963323492,False
10101.v,1,0.0,0.0,1.4763647963323492,False
10103.v,1,0.0,0.0,1.4763647963323492,False
10104.v,1,0.0,0.0,1.4763647963323492,False
10105.v,1,0.0,0.0,1.4763647963323492,False
10107.v,1,0.0,0.0,1.4763647963323492,False
10109.v,1,0.0,0.0,1.4763647963323492,False
10110.v,1,0.0,0.0,1.4763647963323492,False
10111.v,1,0.0,0.0,1.4763647963323492,False
10112.v,1,0.0,0.0,1.4763647963323492,False
10115.v,1,0.0,0.0,1.4763647963323492,False
10116.v,1,0.0,0.0,1.4763647963323492,False
10117.v,1,0.0,0.0,1.4763647963323492,False
10118.v,1,0.0,0.0,1.4763647963323492,False
1012.v,1,0.0,0.0,1.4763647963323492,False
10122.v,1,0.0,0.0,1.4763647963323492,False
10123.v,1,0.0,0.0,1.4763647963323492,False
10124.v,1,0.0,0.0,1.4763647963323492,False
10125.v,1,0.0,0.0,1.4763647963323492,False
10126.v,1,0.0,0.0,1.4763647963323492,False
10128.v,1,0.0,0.0,1.4763647963323492,False
10129.v,1,0.0,0.0,1.4763647963323492,False
1013.v,1,0.0,0.0,1.4763647963323492,False
10130.v,1,0.0,0.0,1.4763647963323492,False
10131.v,1,0.0,0.0,1.4763647963323492,False
10134.v,1,0.0,0.0,1.4763647963323492,False
10136.v,1,0.0,0.0,1.4763647963323492,False
10137.v,1,0.0,0.0,1.4763647963323492,False
10138.v,1,0.0,0.0,1.4763647963323492,False
10139.v,1,0.0,0.0,1.4763647963323492,False
1014.v,2,4.0,1.1428571428571428,2.267853298299634,False
10141.v,1,0.0,0.0,1.4763647963323492,False
10142.v,1,0.0,0.0,1.4763647963323492,False
10143.v,1,0.0,0.0,1.4763647963323492,False
10145.v,1,0.0,0.0,1.4763647963323492,False
10148.v,1,0.0,0.0,1.4763647963323492,False
1015.v,1,0.0,0.0,1.4763647963323492,False
10150.v,1,0.0,0.0,1.4763647963323492,False
10151.v,1,0.0,0.0,1.4763647963323492,False
10152.v,1,0.0,0.0,1.4763647963323492,False
10154.v,1,0.0,0.0,1.4763647963323492,False
10155.v,1,0.0,0.0,1.4763647963323492,False
10156.v,1,0.0,0.0,1.4763647963323492,False
10157.v,1,0.0,0.0,1.4763647963323492,False
10159.v,1,0.0,0.0,1.4763647963323492,False
1016.v,1,0.0,0.0,1.4763647963323492,False
10161.v,1,0.0,0.0,1.4763647963323492,False
10162.v,1,0.0,0.0,1.4763647963323492,False
10166.v,1,0.0,0.0,1.4763647963323492,False
10168.v,1,0.0,0.0,1.4763647963323492,False
10169.v,1,0.0,0.0,1.4763647963323492,False
1017.v,1,0.0,0.0,1.4763647963323492,False
10170.v,1,0.0,0.0,1.4763647963323492,False
10173.v,1,0.0,0.0,1.4763647963323492,False
10175.v,4,5.666666666666667,2.409090909090909,2.005605664333672,False
10177.v,1,0.0,0.0,1.4763647963323492,False
10178.v,1,0.0,0.0,1.4763647963323492,False
10179.v,1,0.0,0.0,1.4763647963323492,False
1018.v,1,0.0,0.0,1.4763647963323492,False
10181.v,1,0.0,0.0,1.4763647963323492,False
10182.v,1,0.0,0.0,1.4763647963323492,False
10183.v,1,0.0,0.0,1.4763647963323492,False
10184.v,1,0.0,0.0,1.4763647963323492,False
10185.v,1,0.0,0.0,1.4763647963323492,False
10186.v,1,0.0,0.0,1.4763647963323492,False
10187.v,1,0.0,0.0,1.4763647963323492,False
10188.v,1,0.0,0.0,1.4763647963323492,False
10189.v,1,0.0,0.0,1.4763647963323492,False
10190.v,1,0.0,0.0,1.4763647963323492,False
10191.v,1,0.0,0.0,1.4763647963323492,False
10192.v,1,0.0,0.0,1.4763647963323492,False
10194.v,1,0.0,0.0,1.4763647963323492,False
10195.v,1,0.0,0.0,1.4763647963323492,False
10196.v,1,0.0,0.0,1.4763647963323492,False
10197.v,1,0.0,0.0,1.4763647963323492,False
10198.v,2,1.0,1.0,2.3296439359298433,False
101_Count1to10.v,1,0.0,0.0,1.4763647963323492,False
102.slow_decade_counter.v,1,0.0,0.0,1.4763647963323492,False
102.v,1,0.0,0.0,1.4763647963323492,False
1020.v,1,0.0,0.0,1.4763647963323492,False
10200.v,1,0.0,0.0,1.4763647963323492,False
10203.v,1,0.0,0.0,1.4763647963323492,False
10206.v,1,0.0,0.0,1.4763647963323492,False
10207.v,1,0.0,0.0,1.4763647963323492,False
10208.v,3,5.5,1.2222222222222223,2.2306969980784426,False
10209.v,1,0.0,0.0,1.4763647963323492,False
1021.v,1,0.0,0.0,1.4763647963323492,False
10210.v,1,0.0,0.0,1.4763647963323492,False
10211.v,1,0.0,0.0,1.4763647963323492,False
10213.v,1,0.0,0.0,1.4763647963323492,False
10214.v,1,0.0,0.0,1.4763647963323492,False
10215.v,1,0.0,0.0,1.4763647963323492,False
10216.v,1,0.0,0.0,1.4763647963323492,False
10217.v,1,0.0,0.0,1.4763647963323492,False
10218.v,1,0.0,0.0,1.4763647963323492,False
10220.v,1,0.0,0.0,1.4763647963323492,False
10223.v,1,0.0,0.0,1.4763647963323492,False
10224.v,1,0.0,0.0,1.4763647963323492,False
10225.v,1,0.0,0.0,1.4763647963323492,False
10226.v,1,0.0,0.0,1.4763647963323492,False
10228.v,1,0.0,0.0,1.4763647963323492,False
10229.v,1,0.0,0.0,1.4763647963323492,False
10230.v,1,0.0,0.0,1.4763647963323492,False
10231.v,1,0.0,0.0,1.4763647963323492,False
10232.v,1,0.0,0.0,1.4763647963323492,False
10235.v,1,0.0,0.0,1.4763647963323492,False
10236.v,1,0.0,0.0,1.4763647963323492,False
10237.v,1,0.0,0.0,1.4763647963323492,False
10238.v,1,0.0,0.0,1.4763647963323492,False
10239.v,1,0.0,0.0,1.4763647963323492,False
1024.v,1,0.0,0.0,1.4763647963323492,False
10240.v,1,0.0,0.0,1.4763647963323492,False
10241.v,1,0.0,0.0,1.4763647963323492,False
10242.v,1,0.0,0.0,1.4763647963323492,False
10243.v,1,0.0,0.0,1.4763647963323492,False
10244.v,1,0.0,0.0,1.4763647963323492,False
10245.v,1,0.0,0.0,1.4763647963323492,False
10246.v,1,0.0,0.0,1.4763647963323492,False
10247.v,1,0.0,0.0,1.4763647963323492,False
10248.v,1,0.0,0.0,1.4763647963323492,False
10250.v,1,0.0,0.0,1.4763647963323492,False
10251.v,1,0.0,0.0,1.4763647963323492,False
10254.v,1,0.0,0.0,1.4763647963323492,False
10256.v,1,0.0,0.0,1.4763647963323492,False
10257.v,1,0.0,0.0,1.4763647963323492,False
10258.v,1,0.0,0.0,1.4763647963323492,False
10259.v,1,0.0,0.0,1.4763647963323492,False
10261.v,1,0.0,0.0,1.4763647963323492,False
10263.v,1,0.0,0.0,1.4763647963323492,False
10264.v,1,0.0,0.0,1.4763647963323492,False
10265.v,1,0.0,0.0,1.4763647963323492,False
10267.v,1,0.0,0.0,1.4763647963323492,False
1027.v,1,0.0,0.0,1.4763647963323492,False
10270.v,1,0.0,0.0,1.4763647963323492,False
10271.v,1,0.0,0.0,1.4763647963323492,False
10273.v,1,0.0,0.0,1.4763647963323492,False
10274.v,1,0.0,0.0,1.4763647963323492,False
10275.v,1,0.0,0.0,1.4763647963323492,False
10276.v,1,0.0,0.0,1.4763647963323492,False
10278.v,1,0.0,0.0,1.4763647963323492,False
10279.v,1,0.0,0.0,1.4763647963323492,False
10280.v,1,0.0,0.0,1.4763647963323492,False
10282.v,1,0.0,0.0,1.4763647963323492,False
10284.v,1,0.0,0.0,1.4763647963323492,False
10285.v,1,0.0,0.0,1.4763647963323492,False
10286.v,1,0.0,0.0,1.4763647963323492,False
1029.v,1,0.0,0.0,1.4763647963323492,False
10291.v,1,0.0,0.0,1.4763647963323492,False
10292.v,1,0.0,0.0,1.4763647963323492,False
10295.v,1,0.0,0.0,1.4763647963323492,False
10296.v,1,0.0,0.0,1.4763647963323492,False
10298.v,1,0.0,0.0,1.4763647963323492,False
10299.v,1,0.0,0.0,1.4763647963323492,False
102_Countslow.v,1,0.0,0.0,1.4763647963323492,False
103.count1-12.v,1,0.0,0.0,1.4763647963323492,False
103.v,1,0.0,0.0,1.4763647963323492,False
1030.v,1,0.0,0.0,1.4763647963323492,False
10302.v,1,0.0,0.0,1.4763647963323492,False
10304.v,1,0.0,0.0,1.4763647963323492,False
10305.v,1,0.0,0.0,1.4763647963323492,False
10307.v,1,0.0,0.0,1.4763647963323492,False
10308.v,1,0.0,0.0,1.4763647963323492,False
10309.v,1,0.0,0.0,1.4763647963323492,False
1031.v,1,0.0,0.0,1.4763647963323492,False
10310.v,1,0.0,0.0,1.4763647963323492,False
10311.v,1,0.0,0.0,1.4763647963323492,False
10312.v,1,0.0,0.0,1.4763647963323492,False
10313.v,1,0.0,0.0,1.4763647963323492,False
10315.v,1,0.0,0.0,1.4763647963323492,False
10316.v,1,0.0,0.0,1.4763647963323492,False
10318.v,1,0.0,0.0,1.4763647963323492,False
10319.v,1,0.0,0.0,1.4763647963323492,False
1032.v,1,0.0,0.0,1.4763647963323492,False
10320.v,1,0.0,0.0,1.4763647963323492,False
10321.v,1,0.0,0.0,1.4763647963323492,False
10322.v,1,0.0,0.0,1.4763647963323492,False
10323.v,1,0.0,0.0,1.4763647963323492,False
10325.v,1,0.0,0.0,1.4763647963323492,False
10326.v,1,0.0,0.0,1.4763647963323492,False
10329.v,1,0.0,0.0,1.4763647963323492,False
1033.v,1,0.0,0.0,1.4763647963323492,False
10330.v,1,0.0,0.0,1.4763647963323492,False
10331.v,1,0.0,0.0,1.4763647963323492,False
10332.v,1,0.0,0.0,1.4763647963323492,False
10336.v,1,0.0,0.0,1.4763647963323492,False
10337.v,1,0.0,0.0,1.4763647963323492,False
10338.v,1,0.0,0.0,1.4763647963323492,False
10339.v,1,0.0,0.0,1.4763647963323492,False
1034.v,1,0.0,0.0,1.4763647963323492,False
10340.v,1,0.0,0.0,1.4763647963323492,False
10341.v,1,0.0,0.0,1.4763647963323492,False
10342.v,1,0.0,0.0,1.4763647963323492,False
10343.v,1,0.0,0.0,1.4763647963323492,False
10345.v,1,0.0,0.0,1.4763647963323492,False
10346.v,1,0.0,0.0,1.4763647963323492,False
10347.v,1,0.0,0.0,1.4763647963323492,False
10348.v,1,0.0,0.0,1.4763647963323492,False
1035.v,1,0.0,0.0,1.4763647963323492,False
10351.v,1,0.0,0.0,1.4763647963323492,False
10352.v,1,0.0,0.0,1.4763647963323492,False
10353.v,1,0.0,0.0,1.4763647963323492,False
10354.v,1,0.0,0.0,1.4763647963323492,False
10356.v,1,0.0,0.0,1.4763647963323492,False
10358.v,1,0.0,0.0,1.4763647963323492,False
10359.v,1,0.0,0.0,1.4763647963323492,False
10360.v,1,0.0,0.0,1.4763647963323492,False
10361.v,1,0.0,0.0,1.4763647963323492,False
10363.v,1,0.0,0.0,1.4763647963323492,False
10366.v,1,0.0,0.0,1.4763647963323492,False
10367.v,1,0.0,0.0,1.4763647963323492,False
10368.v,1,0.0,0.0,1.4763647963323492,False
10369.v,1,0.0,0.0,1.4763647963323492,False
1037.v,1,0.0,0.0,1.4763647963323492,False
10370.v,1,0.0,0.0,1.4763647963323492,False
10371.v,1,0.0,0.0,1.4763647963323492,False
10372.v,1,0.0,0.0,1.4763647963323492,False
10374.v,1,0.0,0.0,1.4763647963323492,False
10375.v,1,0.0,0.0,1.4763647963323492,False
10376.v,1,0.0,0.0,1.4763647963323492,False
10377.v,1,0.0,0.0,1.4763647963323492,False
10378.v,1,0.0,0.0,1.4763647963323492,False
1038.v,1,0.0,0.0,1.4763647963323492,False
10380.v,1,0.0,0.0,1.4763647963323492,False
10381.v,1,0.0,0.0,1.4763647963323492,False
10382.v,1,0.0,0.0,1.4763647963323492,False
10383.v,1,0.0,0.0,1.4763647963323492,False
10385.v,1,0.0,0.0,1.4763647963323492,False
10386.v,1,0.0,0.0,1.4763647963323492,False
10388.v,1,0.0,0.0,1.4763647963323492,False
10389.v,1,0.0,0.0,1.4763647963323492,False
10390.v,1,0.0,0.0,1.4763647963323492,False
10391.v,1,0.0,0.0,1.4763647963323492,False
10392.v,1,0.0,0.0,1.4763647963323492,False
10393.v,1,0.0,0.0,1.4763647963323492,False
10394.v,1,0.0,0.0,1.4763647963323492,False
10395.v,1,0.0,0.0,1.4763647963323492,False
10396.v,1,0.0,0.0,1.4763647963323492,False
10397.v,1,0.0,0.0,1.4763647963323492,False
103_Exams_ece241 2014 q7a.v,1,0.0,0.0,1.4763647963323492,False
104.counter1000.v,1,0.0,0.0,1.4763647963323492,False
104.v,1,0.0,0.0,1.4763647963323492,False
10400.v,1,0.0,0.0,1.4763647963323492,False
10401.v,1,0.0,0.0,1.4763647963323492,False
10402.v,1,0.0,0.0,1.4763647963323492,False
10405.v,3,4.5,1.2857142857142858,2.308192512009722,False
10406.v,1,0.0,0.0,1.4763647963323492,False
10407.v,1,0.0,0.0,1.4763647963323492,False
10408.v,1,0.0,0.0,1.4763647963323492,False
10409.v,1,0.0,0.0,1.4763647963323492,False
1041.v,1,0.0,0.0,1.4763647963323492,False
10410.v,1,0.0,0.0,1.4763647963323492,False
10411.v,1,0.0,0.0,1.4763647963323492,False
10412.v,1,0.0,0.0,1.4763647963323492,False
10413.v,1,0.0,0.0,1.4763647963323492,False
10414.v,1,0.0,0.0,1.4763647963323492,False
10417.v,1,0.0,0.0,1.4763647963323492,False
1042.v,1,0.0,0.0,1.4763647963323492,False
10420.v,1,0.0,0.0,1.4763647963323492,False
10421.v,1,0.0,0.0,1.4763647963323492,False
10423.v,1,0.0,0.0,1.4763647963323492,False
10424.v,1,0.0,0.0,1.4763647963323492,False
10427.v,1,0.0,0.0,1.4763647963323492,False
10428.v,1,0.0,0.0,1.4763647963323492,False
10429.v,1,0.0,0.0,1.4763647963323492,False
1043.v,1,0.0,0.0,1.4763647963323492,False
10430.v,1,0.0,0.0,1.4763647963323492,False
10431.v,1,0.0,0.0,1.4763647963323492,False
10433.v,1,0.0,0.0,1.4763647963323492,False
10434.v,1,0.0,0.0,1.4763647963323492,False
10435.v,1,0.0,0.0,1.4763647963323492,False
10437.v,1,0.0,0.0,1.4763647963323492,False
10438.v,1,0.0,0.0,1.4763647963323492,False
1044.v,1,0.0,0.0,1.4763647963323492,False
10440.v,1,0.0,0.0,1.4763647963323492,False
10442.v,1,0.0,0.0,1.4763647963323492,False
10443.v,1,0.0,0.0,1.4763647963323492,False
10444.v,1,0.0,0.0,1.4763647963323492,False
10445.v,1,0.0,0.0,1.4763647963323492,False
10446.v,1,0.0,0.0,1.4763647963323492,False
10447.v,1,0.0,0.0,1.4763647963323492,False
10448.v,1,0.0,0.0,1.4763647963323492,False
10449.v,1,0.0,0.0,1.4763647963323492,False
1045.v,1,0.0,0.0,1.4763647963323492,False
10450.v,1,0.0,0.0,1.4763647963323492,False
10451.v,1,0.0,0.0,1.4763647963323492,False
10456.v,1,0.0,0.0,1.4763647963323492,False
10457.v,1,0.0,0.0,1.4763647963323492,False
10458.v,1,0.0,0.0,1.4763647963323492,False
10459.v,1,0.0,0.0,1.4763647963323492,False
1046.v,1,0.0,0.0,1.4763647963323492,False
10461.v,1,0.0,0.0,1.4763647963323492,False
10464.v,1,0.0,0.0,1.4763647963323492,False
10465.v,1,0.0,0.0,1.4763647963323492,False
10467.v,1,0.0,0.0,1.4763647963323492,False
10469.v,2,4.0,1.1428571428571428,2.267853298299634,False
10470.v,1,0.0,0.0,1.4763647963323492,False
10471.v,1,0.0,0.0,1.4763647963323492,False
10472.v,1,0.0,0.0,1.4763647963323492,False
10475.v,1,0.0,0.0,1.4763647963323492,False
10476.v,1,0.0,0.0,1.4763647963323492,False
10477.v,1,0.0,0.0,1.4763647963323492,False
10478.v,1,0.0,0.0,1.4763647963323492,False
10479.v,1,0.0,0.0,1.4763647963323492,False
1048.v,1,0.0,0.0,1.4763647963323492,False
10480.v,1,0.0,0.0,1.4763647963323492,False
10481.v,1,0.0,0.0,1.4763647963323492,False
10482.v,1,0.0,0.0,1.4763647963323492,False
10484.v,1,0.0,0.0,1.4763647963323492,False
10485.v,1,0.0,0.0,1.4763647963323492,False
10486.v,1,0.0,0.0,1.4763647963323492,False
10487.v,2,4.0,1.1428571428571428,2.267853298299634,False
10490.v,1,0.0,0.0,1.4763647963323492,False
10491.v,1,0.0,0.0,1.4763647963323492,False
10492.v,1,0.0,0.0,1.4763647963323492,False
10493.v,1,0.0,0.0,1.4763647963323492,False
10495.v,1,0.0,0.0,1.4763647963323492,False
10496.v,1,0.0,0.0,1.4763647963323492,False
10498.v,1,0.0,0.0,1.4763647963323492,False
104_Exams_ece241 2014 q7b_high.v,1,0.0,0.0,1.4763647963323492,False
1050.v,1,0.0,0.0,1.4763647963323492,False
10500.v,1,0.0,0.0,1.4763647963323492,False
10501.v,1,0.0,0.0,1.4763647963323492,False
10503.v,1,0.0,0.0,1.4763647963323492,False
10504.v,1,0.0,0.0,1.4763647963323492,False
10505.v,1,0.0,0.0,1.4763647963323492,False
10506.v,1,0.0,0.0,1.4763647963323492,False
10507.v,1,0.0,0.0,1.4763647963323492,False
10508.v,1,0.0,0.0,1.4763647963323492,False
1051.v,1,0.0,0.0,1.4763647963323492,False
10510.v,1,0.0,0.0,1.4763647963323492,False
10511.v,1,0.0,0.0,1.4763647963323492,False
10512.v,1,0.0,0.0,1.4763647963323492,False
10514.v,1,0.0,0.0,1.4763647963323492,False
10515.v,1,0.0,0.0,1.4763647963323492,False
10516.v,1,0.0,0.0,1.4763647963323492,False
10517.v,1,0.0,0.0,1.4763647963323492,False
10518.v,1,0.0,0.0,1.4763647963323492,False
10521.v,1,0.0,0.0,1.4763647963323492,False
10523.v,1,0.0,0.0,1.4763647963323492,False
10524.v,1,0.0,0.0,1.4763647963323492,False
10526.v,1,0.0,0.0,1.4763647963323492,False
10527.v,1,0.0,0.0,1.4763647963323492,False
10528.v,1,0.0,0.0,1.4763647963323492,False
10529.v,1,0.0,0.0,1.4763647963323492,False
1053.v,1,0.0,0.0,1.4763647963323492,False
10530.v,1,0.0,0.0,1.4763647963323492,False
10531.v,1,0.0,0.0,1.4763647963323492,False
10532.v,1,0.0,0.0,1.4763647963323492,False
10533.v,1,0.0,0.0,1.4763647963323492,False
10534.v,1,0.0,0.0,1.4763647963323492,False
10537.v,1,0.0,0.0,1.4763647963323492,False
1054.v,1,0.0,0.0,1.4763647963323492,False
10541.v,1,0.0,0.0,1.4763647963323492,False
10542.v,1,0.0,0.0,1.4763647963323492,False
10543.v,1,0.0,0.0,1.4763647963323492,False
10544.v,1,0.0,0.0,1.4763647963323492,False
10546.v,1,0.0,0.0,1.4763647963323492,False
10548.v,1,0.0,0.0,1.4763647963323492,False
10549.v,1,0.0,0.0,1.4763647963323492,False
10550.v,1,0.0,0.0,1.4763647963323492,False
10551.v,1,0.0,0.0,1.4763647963323492,False
10552.v,1,0.0,0.0,1.4763647963323492,False
10555.v,1,0.0,0.0,1.4763647963323492,False
10558.v,1,0.0,0.0,1.4763647963323492,False
10560.v,1,0.0,0.0,1.4763647963323492,False
10561.v,1,0.0,0.0,1.4763647963323492,False
10562.v,1,0.0,0.0,1.4763647963323492,False
10564.v,1,0.0,0.0,1.4763647963323492,False
10567.v,1,0.0,0.0,1.4763647963323492,False
10568.v,1,0.0,0.0,1.4763647963323492,False
10569.v,1,0.0,0.0,1.4763647963323492,False
1057.v,1,0.0,0.0,1.4763647963323492,False
10571.v,1,0.0,0.0,1.4763647963323492,False
10573.v,1,0.0,0.0,1.4763647963323492,False
10575.v,1,0.0,0.0,1.4763647963323492,False
10577.v,1,0.0,0.0,1.4763647963323492,False
10578.v,1,0.0,0.0,1.4763647963323492,False
1058.v,1,0.0,0.0,1.4763647963323492,False
10580.v,1,6.0,2.111111111111111,2.0290697534945377,False
10581.v,1,0.0,0.0,1.4763647963323492,False
10582.v,1,0.0,0.0,1.4763647963323492,False
10583.v,1,0.0,0.0,1.4763647963323492,False
10584.v,1,0.0,0.0,1.4763647963323492,False
10585.v,1,0.0,0.0,1.4763647963323492,False
10586.v,1,0.0,0.0,1.4763647963323492,False
10588.v,1,0.0,0.0,1.4763647963323492,False
10589.v,1,0.0,0.0,1.4763647963323492,False
